REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	ENCFF697BQR_sorted.bam	ENCFF225QVL_sorted.bam
13_/mnt/vdb/MACS/human/ENCFF183VRP_peak_7388_lociStitched	chr22	46068537	46089318	13	8066	14931.1485	2067.7095
7_/mnt/vdb/MACS/human/ENCFF183VRP_peak_6324_lociStitched	chr2	100273264	100293692	7	2888	7864.78	1928.4032
11_/mnt/vdb/MACS/human/ENCFF183VRP_peak_8823_lociStitched	chr5	172859633	172879463	11	6826	13573.635	2244.756
7_/mnt/vdb/MACS/human/ENCFF183VRP_peak_7825_lociStitched	chr3	141393377	141413056	7	4456	10156.3319	2333.9294
8_/mnt/vdb/MACS/human/ENCFF183VRP_peak_849_lociStitched	chr1	162670982	162690577	8	2594	9515.332	2196.5995
6_/mnt/vdb/MACS/human/ENCFF183VRP_peak_10738_lociStitched	chr9	107732587	107751768	6	3416	6770.893	2060.0394
3_/mnt/vdb/MACS/human/ENCFF183VRP_peak_5792_lociStitched	chr19	49801813	49820860	3	2804	6595.9761	1401.8592
6_/mnt/vdb/MACS/human/ENCFF183VRP_peak_7429_lociStitched	chr3	4977062	4995514	6	5822	12338.8524	1946.686
4_/mnt/vdb/MACS/human/ENCFF183VRP_peak_10816_lociStitched	chr9	127555787	127574039	4	1058	6895.6056	1743.066
8_/mnt/vdb/MACS/human/ENCFF183VRP_peak_5179_lociStitched	chr19	1154610	1172734	8	4897	9837.7072	1578.6004
7_/mnt/vdb/MACS/human/ENCFF183VRP_peak_10089_lociStitched	chr8	22382813	22400879	7	3356	7808.1252	1752.402
3_/mnt/vdb/MACS/human/ENCFF183VRP_peak_6837_lociStitched	chr20	36151114	36169144	3	1744	7074.972	1833.651
8_/mnt/vdb/MACS/human/ENCFF183VRP_peak_7640_lociStitched	chr3	52176918	52194946	8	3180	7670.914	1871.3064
7_/mnt/vdb/MACS/human/ENCFF183VRP_peak_8853_lociStitched	chr5	173764752	173782685	7	1918	7205.4794	2128.6471
5_/mnt/vdb/MACS/human/ENCFF183VRP_peak_8126_lociStitched	chr4	40577568	40595495	5	1347	6900.1023	1751.4679
11_/mnt/vdb/MACS/human/ENCFF183VRP_peak_2169_lociStitched	chr11	118912079	118929949	11	6646	12373.188	1903.155
7_/mnt/vdb/MACS/human/ENCFF183VRP_peak_8683_lociStitched	chr5	139650921	139668778	7	1740	6839.231	1653.5582
9_/mnt/vdb/MACS/human/ENCFF183VRP_peak_1408_lociStitched	chr10	77871645	77889351	9	4746	10311.9744	1979.5308
5_/mnt/vdb/MACS/human/ENCFF183VRP_peak_2796_lociStitched	chr12	120230122	120247627	5	1852	7717.9545	1825.7715
10_/mnt/vdb/MACS/human/ENCFF183VRP_peak_5063_lociStitched	chr18	22172319	22189724	10	5211	10317.684	1597.779
9_/mnt/vdb/MACS/human/ENCFF183VRP_peak_5188_lociStitched	chr19	1244692	1262091	9	6212	10764.7613	1337.9831
5_/mnt/vdb/MACS/human/ENCFF183VRP_peak_9787_lociStitched	chr7	75934227	75951556	5	1580	6971.4567	1850.7372
6_/mnt/vdb/MACS/human/ENCFF183VRP_peak_7560_lociStitched	chr3	46931971	46949174	6	2736	8085.41	2102.2066
6_/mnt/vdb/MACS/human/ENCFF183VRP_peak_4132_lociStitched	chr16	69396407	69413232	6	2222	6724.9525	1512.5675
6_/mnt/vdb/MACS/human/ENCFF183VRP_peak_9441_lociStitched	chr6	134292975	134309740	6	2959	8023.729	1877.68
4_/mnt/vdb/MACS/human/ENCFF183VRP_peak_481_lociStitched	chr1	59483724	59500358	4	1716	5143.2328	1844.7106
6_/mnt/vdb/MACS/human/ENCFF183VRP_peak_3734_lociStitched	chr15	78056718	78073343	6	2759	8671.6	2086.4375
5_/mnt/vdb/MACS/human/ENCFF183VRP_peak_6337_lociStitched	chr2	102048780	102065278	5	2922	7618.7764	1941.8146
4_/mnt/vdb/MACS/human/ENCFF183VRP_peak_152_lociStitched	chr1	16889154	16905650	4	2363	9435.712	3497.152
8_/mnt/vdb/MACS/human/ENCFF183VRP_peak_5406_lociStitched	chr19	12778173	12794366	8	6480	11312.4298	1306.7751
6_/mnt/vdb/MACS/human/ENCFF183VRP_peak_3520_lociStitched	chr15	37095388	37111557	6	4186	9897.0449	1539.2888
5_/mnt/vdb/MACS/human/ENCFF183VRP_peak_2330_lociStitched	chr12	12586029	12601935	5	2681	5363.5032	1668.5394
4_/mnt/vdb/MACS/human/ENCFF183VRP_peak_7190_lociStitched	chr22	24970109	24985881	4	1675	5313.5868	1720.7252
7_/mnt/vdb/MACS/human/ENCFF183VRP_peak_4280_lociStitched	chr17	2392104	2407817	7	6878	11377.7833	1483.3072
5_/mnt/vdb/MACS/human/ENCFF183VRP_peak_7925_lociStitched	chr3	177344820	177360454	5	2961	5972.188	1788.5296
6_/mnt/vdb/MACS/human/ENCFF183VRP_peak_10650_lociStitched	chr9	91193210	91208601	6	3598	6941.341	1823.8335
3_/mnt/vdb/MACS/human/ENCFF183VRP_peak_1850_lociStitched	chr11	59550763	59566150	3	2368	5020.7781	1577.1675
5_/mnt/vdb/MACS/human/ENCFF183VRP_peak_5480_lociStitched	chr19	18156144	18171493	5	2265	3894.0413	1068.2904
8_/mnt/vdb/MACS/human/ENCFF183VRP_peak_1661_lociStitched	chr10	132406732	132422024	8	3627	8320.3772	1506.262
5_/mnt/vdb/MACS/human/ENCFF183VRP_peak_5334_lociStitched	chr19	7242853	7257911	5	1340	4952.5762	1549.4682
7_/mnt/vdb/MACS/human/ENCFF183VRP_peak_4551_lociStitched	chr17	40098014	40112946	7	4756	9401.1872	1605.19
5_/mnt/vdb/MACS/human/ENCFF183VRP_peak_3648_lociStitched	chr15	64883634	64898352	5	1825	4842.222	1467.3846
3_/mnt/vdb/MACS/human/ENCFF183VRP_peak_7862_lociStitched	chr3	150741233	150755849	3	701	5133.1392	1566.8352
3_/mnt/vdb/MACS/human/ENCFF183VRP_peak_10156_lociStitched	chr8	38153036	38167530	3	1723	4665.6186	1433.4566
2_/mnt/vdb/MACS/human/ENCFF183VRP_peak_2704_lociStitched	chr12	108825466	108839952	2	3121	6714.261	1775.9836
7_/mnt/vdb/MACS/human/ENCFF183VRP_peak_2231_lociStitched	chr11	126345417	126359699	7	3946	8163.5912	1531.0304
9_/mnt/vdb/MACS/human/ENCFF183VRP_peak_1085_lociStitched	chr1	234599389	234613656	9	6939	11610.4846	1426.7
5_/mnt/vdb/MACS/human/ENCFF183VRP_peak_271_lociStitched	chr1	27529559	27543726	5	1212	3903.0085	1320.3644
4_/mnt/vdb/MACS/human/ENCFF183VRP_peak_4892_lociStitched	chr17	77351648	77365801	4	1263	4227.5011	1494.5568
3_/mnt/vdb/MACS/human/ENCFF183VRP_peak_2710_lociStitched	chr12	109102193	109116287	3	1291	4541.0868	1493.964
4_/mnt/vdb/MACS/human/ENCFF183VRP_peak_10681_lociStitched	chr9	94900258	94914208	4	1234	3334.05	1542.87
3_/mnt/vdb/MACS/human/ENCFF183VRP_peak_6345_lociStitched	chr2	102226939	102240864	3	1328	3452.0075	1579.095
7_/mnt/vdb/MACS/human/ENCFF183VRP_peak_10186_lociStitched	chr8	47512102	47525917	7	2982	7360.632	1402.2225
6_/mnt/vdb/MACS/human/ENCFF183VRP_peak_8803_lociStitched	chr5	172438085	172451835	6	2597	6584.875	1570.25
6_/mnt/vdb/MACS/human/ENCFF183VRP_peak_1556_lociStitched	chr10	102769843	102783521	6	3936	8411.97	1689.233
3_/mnt/vdb/MACS/human/ENCFF183VRP_peak_128_lociStitched	chr1	15948994	15962667	3	1875	4672.0641	1188.1837
4_/mnt/vdb/MACS/human/ENCFF183VRP_peak_5627_lociStitched	chr19	40420841	40434482	4	2454	4969.4163	1197.6798
2_/mnt/vdb/MACS/human/ENCFF183VRP_peak_10165_lociStitched	chr8	38924869	38938500	2	2733	5205.6789	1331.7487
7_/mnt/vdb/MACS/human/ENCFF183VRP_peak_1349_lociStitched	chr10	72247958	72261498	7	2444	5980.618	1450.134
2_/mnt/vdb/MACS/human/ENCFF183VRP_peak_2492_lociStitched	chr12	53039143	53052633	2	4958	7451.876	1450.175
2_/mnt/vdb/MACS/human/ENCFF183VRP_peak_2447_lociStitched	chr12	49201682	49215143	2	1558	2976.2271	1044.5736
6_/mnt/vdb/MACS/human/ENCFF183VRP_peak_7451_lociStitched	chr3	10192342	10205671	6	1925	4510.5336	1304.9091
5_/mnt/vdb/MACS/human/ENCFF183VRP_peak_5694_lociStitched	chr19	44741127	44754449	5	2203	6234.696	1257.5968
7_/mnt/vdb/MACS/human/ENCFF183VRP_peak_10354_lociStitched	chr8	124618656	124631977	7	2970	6803.0347	1513.2656
4_/mnt/vdb/MACS/human/ENCFF183VRP_peak_7095_lociStitched	chr21	41888614	41901846	4	1164	4198.5136	1161.7696
3_/mnt/vdb/MACS/human/ENCFF183VRP_peak_9088_lociStitched	chr6	30739981	30753102	3	3728	6530.3217	1329.1573
3_/mnt/vdb/MACS/human/ENCFF183VRP_peak_6124_lociStitched	chr2	46955390	46968510	3	1200	3408.576	1364.48
7_/mnt/vdb/MACS/human/ENCFF183VRP_peak_8796_lociStitched	chr5	172407735	172420839	7	3418	8390.4912	1558.0656
2_/mnt/vdb/MACS/human/ENCFF183VRP_peak_8198_lociStitched	chr4	82706291	82719358	2	605	4696.2798	1375.9551
3_/mnt/vdb/MACS/human/ENCFF183VRP_peak_138_lociStitched	chr1	16195324	16208377	3	1342	2912.1243	1340.5431
3_/mnt/vdb/MACS/human/ENCFF183VRP_peak_10141_lociStitched	chr8	30550089	30563126	3	1305	3766.3893	1569.6548
2_/mnt/vdb/MACS/human/ENCFF183VRP_peak_6411_lociStitched	chr2	128292955	128305962	2	605	3481.9739	1459.3854
3_/mnt/vdb/MACS/human/ENCFF183VRP_peak_8123_lociStitched	chr4	40551036	40564008	3	1092	5293.8732	1328.3328
3_/mnt/vdb/MACS/human/ENCFF183VRP_peak_5766_lociStitched	chr19	48622458	48635354	3	1247	4471.0432	1272.8352
3_/mnt/vdb/MACS/human/ENCFF183VRP_peak_5167_lociStitched	chr19	1101188	1113953	3	2708	5817.0105	926.739
4_/mnt/vdb/MACS/human/ENCFF183VRP_peak_545_lociStitched	chr1	91725350	91738022	4	1581	5962.176	1799.424
4_/mnt/vdb/MACS/human/ENCFF183VRP_peak_338_lociStitched	chr1	33335174	33347767	4	1375	5862.0415	1537.6053
3_/mnt/vdb/MACS/human/ENCFF183VRP_peak_1692_lociStitched	chr11	1748474	1761017	3	1186	4550.6004	1048.5948
5_/mnt/vdb/MACS/human/ENCFF183VRP_peak_3406_lociStitched	chr14	77032000	77044531	5	6899	10678.9182	1400.9658
2_/mnt/vdb/MACS/human/ENCFF183VRP_peak_5670_lociStitched	chr19	42421175	42433688	2	2123	4469.6436	1313.865
2_/mnt/vdb/MACS/human/ENCFF183VRP_peak_10332_lociStitched	chr8	119908007	119920501	2	1025	4356.6578	1424.316
6_/mnt/vdb/MACS/human/ENCFF183VRP_peak_5431_lociStitched	chr19	13838738	13851228	6	3026	6185.048	1057.903
4_/mnt/vdb/MACS/human/ENCFF183VRP_peak_8386_lociStitched	chr4	185711354	185723761	4	1244	4933.0232	1531.0238
4_/mnt/vdb/MACS/human/ENCFF183VRP_peak_9060_lociStitched	chr6	29965045	29977433	4	1322	3241.9396	1217.7404
2_/mnt/vdb/MACS/human/ENCFF183VRP_peak_6850_lociStitched	chr20	36835239	36847611	2	458	2965.5684	1008.318
2_/mnt/vdb/MACS/human/ENCFF183VRP_peak_8907_lociStitched	chr6	2846589	2858934	2	1670	4312.1085	1635.7125
3_/mnt/vdb/MACS/human/ENCFF183VRP_peak_1151_lociStitched	chr10	3096049	3108309	3	1212	2465.486	1087.462
3_/mnt/vdb/MACS/human/ENCFF183VRP_peak_958_lociStitched	chr1	203278823	203291028	3	1207	3661.5	1277.8635
2_/mnt/vdb/MACS/human/ENCFF183VRP_peak_2807_lociStitched	chr12	120538715	120550914	2	464	3936.6173	1293.094
2_/mnt/vdb/MACS/human/ENCFF183VRP_peak_4702_lociStitched	chr17	55273879	55286072	2	939	3639.6105	1180.2824
4_/mnt/vdb/MACS/human/ENCFF183VRP_peak_1836_lociStitched	chr11	57310421	57322558	4	1450	4175.128	1336.2837
2_/mnt/vdb/MACS/human/ENCFF183VRP_peak_8594_lociStitched	chr5	126508317	126520259	2	872	3661.4172	1220.4724
4_/mnt/vdb/MACS/human/ENCFF183VRP_peak_2478_lociStitched	chr12	52032607	52044546	4	1214	3297.5518	1124.6538
4_/mnt/vdb/MACS/human/ENCFF183VRP_peak_4383_lociStitched	chr17	8154581	8166515	4	3710	8000.5536	1236.3624
5_/mnt/vdb/MACS/human/ENCFF183VRP_peak_6021_lociStitched	chr2	27723588	27735502	5	1543	5158.762	1403.4692
3_/mnt/vdb/MACS/human/ENCFF183VRP_peak_2790_lociStitched	chr12	119692658	119704550	3	1490	4019.496	1331.904
3_/mnt/vdb/MACS/human/ENCFF183VRP_peak_5340_lociStitched	chr19	7483277	7495087	3	943	3573.706	1237.688
3_/mnt/vdb/MACS/human/ENCFF183VRP_peak_7395_lociStitched	chr22	46649822	46661515	3	875	2727.9769	1069.9095
6_/mnt/vdb/MACS/human/ENCFF183VRP_peak_4171_lociStitched	chr16	73053097	73064750	6	3767	6193.5695	883.2974
4_/mnt/vdb/MACS/human/ENCFF183VRP_peak_2425_lociStitched	chr12	47811999	47823649	4	4401	7748.415	1110.245
2_/mnt/vdb/MACS/human/ENCFF183VRP_peak_7486_lociStitched	chr3	15319167	15330817	2	971	5303.08	1265.19
6_/mnt/vdb/MACS/human/ENCFF183VRP_peak_2769_lociStitched	chr12	114736345	114747975	6	2671	5432.373	1158.348
2_/mnt/vdb/MACS/human/ENCFF183VRP_peak_4994_lociStitched	chr18	3594449	3606063	2	5847	10159.9272	1327.4802
3_/mnt/vdb/MACS/human/ENCFF183VRP_peak_8519_lociStitched	chr5	90867178	90878629	3	1177	3999.8343	1340.9121
2_/mnt/vdb/MACS/human/ENCFF183VRP_peak_3476_lociStitched	chr14	101824570	101835999	2	633	2776.1041	1362.3368
2_/mnt/vdb/MACS/human/ENCFF183VRP_peak_1594_lociStitched	chr10	110492039	110503468	2	781	3373.8408	1189.7589
2_/mnt/vdb/MACS/human/ENCFF183VRP_peak_9997_lociStitched	chr7	139720614	139732017	2	953	4520.1492	1523.4408
3_/mnt/vdb/MACS/human/ENCFF183VRP_peak_3113_lociStitched	chr13	112711515	112722881	3	879	2630.0924	1293.4508
2_/mnt/vdb/MACS/human/ENCFF183VRP_peak_10984_lociStitched	chrX	49155985	49167321	2	775	2003.0712	343.4808
5_/mnt/vdb/MACS/human/ENCFF183VRP_peak_6254_lociStitched	chr2	70132229	70143515	5	2745	5355.207	1091.3562
6_/mnt/vdb/MACS/human/ENCFF183VRP_peak_1936_lociStitched	chr11	65416662	65427942	6	9321	13347.624	1200.192
2_/mnt/vdb/MACS/human/ENCFF183VRP_peak_5910_lociStitched	chr2	7012169	7023402	2	527	4614.5164	1327.7406
4_/mnt/vdb/MACS/human/ENCFF183VRP_peak_3206_lociStitched	chr14	34545870	34556999	4	2464	4247.9393	859.1588
2_/mnt/vdb/MACS/human/ENCFF183VRP_peak_9806_lociStitched	chr7	76294438	76305488	2	794	3160.3	880.685
3_/mnt/vdb/MACS/human/ENCFF183VRP_peak_53_lociStitched	chr1	8363297	8374314	3	1059	3398.7445	1174.4122
8_/mnt/vdb/MACS/human/ENCFF183VRP_peak_9132_lociStitched	chr6	32000170	32011187	8	6305	8986.5669	1203.0564
5_/mnt/vdb/MACS/human/ENCFF183VRP_peak_538_lociStitched	chr1	91689139	91700130	5	1635	5275.68	1352.9921
9_/mnt/vdb/MACS/human/ENCFF183VRP_peak_9138_lociStitched	chr6	32031222	32042194	9	6022	8866.4732	1364.9168
3_/mnt/vdb/MACS/human/ENCFF183VRP_peak_7101_lociStitched	chr21	41923464	41934400	3	2250	6064.012	1049.856
4_/mnt/vdb/MACS/human/ENCFF183VRP_peak_4761_lociStitched	chr17	59828948	59839861	4	2935	5770.7944	1060.7436
3_/mnt/vdb/MACS/human/ENCFF183VRP_peak_9276_lociStitched	chr6	52882229	52893053	3	775	3630.3696	1015.2912
3_/mnt/vdb/MACS/human/ENCFF183VRP_peak_10912_lociStitched	chr9	133844951	133855725	3	925	2670.8746	1158.205
3_/mnt/vdb/MACS/human/ENCFF183VRP_peak_5498_lociStitched	chr19	18363692	18374447	3	2226	3267.369	877.608
6_/mnt/vdb/MACS/human/ENCFF183VRP_peak_1102_lociStitched	chr1	234970939	234981665	6	4088	7688.3968	1380.4362
4_/mnt/vdb/MACS/human/ENCFF183VRP_peak_6686_lociStitched	chr2	231604314	231615037	4	2207	4440.3943	878.2137
3_/mnt/vdb/MACS/human/ENCFF183VRP_peak_10374_lociStitched	chr8	127917867	127928584	3	1177	3754.1651	1029.9037
3_/mnt/vdb/MACS/human/ENCFF183VRP_peak_4430_lociStitched	chr17	17839471	17850085	3	1374	3497.313	1035.9264
2_/mnt/vdb/MACS/human/ENCFF183VRP_peak_3364_lociStitched	chr14	73784846	73795448	2	2304	4259.8836	1188.4842
4_/mnt/vdb/MACS/human/ENCFF183VRP_peak_7666_lociStitched	chr3	58048896	58059482	4	1027	4178.2942	1209.9798
6_/mnt/vdb/MACS/human/ENCFF183VRP_peak_4360_lociStitched	chr17	7834264	7844849	6	5157	8001.2015	1117.776
2_/mnt/vdb/MACS/human/ENCFF183VRP_peak_10419_lociStitched	chr8	143518539	143529076	2	1099	3313.8865	970.4577
2_/mnt/vdb/MACS/human/ENCFF183VRP_peak_6753_lociStitched	chr20	4925926	4936433	2	439	2560.5559	992.9115
7_/mnt/vdb/MACS/human/ENCFF183VRP_peak_6043_lociStitched	chr2	28389964	28400241	7	7230	9934.7759	1040.0324
3_/mnt/vdb/MACS/human/ENCFF183VRP_peak_652_lociStitched	chr1	146377217	146387492	3	850	2252.28	900.09
3_/mnt/vdb/MACS/human/ENCFF183VRP_peak_967_lociStitched	chr1	204416373	204426622	3	1458	3407.7925	1034.1241
4_/mnt/vdb/MACS/human/ENCFF183VRP_peak_7261_lociStitched	chr22	37502021	37512256	4	1668	3231.1895	896.586
5_/mnt/vdb/MACS/human/ENCFF183VRP_peak_10886_lociStitched	chr9	131394600	131404699	5	1782	4390.0353	1017.9792
2_/mnt/vdb/MACS/human/ENCFF183VRP_peak_4557_lociStitched	chr17	40322771	40332852	2	731	3206.7661	851.8445
6_/mnt/vdb/MACS/human/ENCFF183VRP_peak_10597_lociStitched	chr9	70411400	70421447	6	7027	10375.5369	845.9574
3_/mnt/vdb/MACS/human/ENCFF183VRP_peak_9920_lociStitched	chr7	107068956	107078978	3	838	2943.4614	1054.3144
4_/mnt/vdb/MACS/human/ENCFF183VRP_peak_6131_lociStitched	chr2	47033309	47043262	4	2207	4597.2907	1150.5668
2_/mnt/vdb/MACS/human/ENCFF183VRP_peak_10062_lociStitched	chr8	11853252	11863087	2	981	4165.1225	1180.2
7_/mnt/vdb/MACS/human/ENCFF183VRP_peak_6911_lociStitched	chr20	47351648	47361471	7	7181	10919.2468	1195.4591
5_/mnt/vdb/MACS/human/ENCFF183VRP_peak_10833_lociStitched	chr9	127963779	127973579	5	1602	4508.0	918.26
4_/mnt/vdb/MACS/human/ENCFF183VRP_peak_10905_lociStitched	chr9	133113660	133123425	4	1624	4287.8115	1064.385
3_/mnt/vdb/MACS/human/ENCFF183VRP_peak_5217_lociStitched	chr19	2032118	2041879	3	973	2893.1604	850.1831
2_/mnt/vdb/MACS/human/ENCFF183VRP_peak_6930_lociStitched	chr20	49690889	49700594	2	869	2766.8955	1087.9305
2_/mnt/vdb/MACS/human/ENCFF183VRP_peak_4726_lociStitched	chr17	57851901	57861604	2	948	2236.5415	1037.2507
5_/mnt/vdb/MACS/human/ENCFF183VRP_peak_3400_lociStitched	chr14	76946940	76956595	5	2257	4792.742	1013.775
2_/mnt/vdb/MACS/human/ENCFF183VRP_peak_10895_lociStitched	chr9	131698638	131708274	2	1031	2779.986	1260.3888
2_/mnt/vdb/MACS/human/ENCFF183VRP_peak_1193_lociStitched	chr10	21518628	21528190	2	3168	5529.7046	909.3462
3_/mnt/vdb/MACS/human/ENCFF183VRP_peak_275_lociStitched	chr1	27563891	27573416	3	1197	4092.8925	963.93
3_/mnt/vdb/MACS/human/ENCFF183VRP_peak_5273_lociStitched	chr19	3450702	3460224	3	1013	3289.851	755.0946
3_/mnt/vdb/MACS/human/ENCFF183VRP_peak_4277_lociStitched	chr17	2171859	2181374	3	1001	4213.242	1289.2825
2_/mnt/vdb/MACS/human/ENCFF183VRP_peak_4901_lociStitched	chr17	78342746	78352226	2	506	1841.964	920.508
2_/mnt/vdb/MACS/human/ENCFF183VRP_peak_1075_lociStitched	chr1	230105133	230114580	2	749	2930.4594	1251.7275
3_/mnt/vdb/MACS/human/ENCFF183VRP_peak_4608_lociStitched	chr17	43360396	43369801	3	2771	4773.978	1042.074
2_/mnt/vdb/MACS/human/ENCFF183VRP_peak_9900_lociStitched	chr7	102431341	102440736	2	514	2168.366	735.6285
2_/mnt/vdb/MACS/human/ENCFF183VRP_peak_8854_lociStitched	chr5	173823988	173833327	2	850	2576.6301	1117.8783
2_/mnt/vdb/MACS/human/ENCFF183VRP_peak_10215_lociStitched	chr8	61712618	61721948	2	1847	4194.768	1072.017
8_/mnt/vdb/MACS/human/ENCFF183VRP_peak_7988_lociStitched	chr3	194269305	194278585	8	3629	6464.448	995.744
2_/mnt/vdb/MACS/human/ENCFF183VRP_peak_6306_lociStitched	chr2	96251260	96260522	2	920	4044.7154	1097.547
3_/mnt/vdb/MACS/human/ENCFF183VRP_peak_4206_lociStitched	chr16	85277760	85287021	3	1774	3870.1719	975.1833
3_/mnt/vdb/MACS/human/ENCFF183VRP_peak_6608_lociStitched	chr2	217902978	217912238	3	2143	4371.646	926.926
3_/mnt/vdb/MACS/human/ENCFF183VRP_peak_6611_lociStitched	chr2	217996021	218005196	3	2127	4570.0675	839.5125
2_/mnt/vdb/MACS/human/ENCFF183VRP_peak_10429_lociStitched	chr8	143948114	143957255	2	1441	3894.066	750.4761
2_/mnt/vdb/MACS/human/ENCFF183VRP_peak_2688_lociStitched	chr12	104280448	104289570	2	2690	4771.7182	910.3756
3_/mnt/vdb/MACS/human/ENCFF183VRP_peak_7744_lociStitched	chr3	120558348	120567417	3	1377	3386.3646	935.9208
3_/mnt/vdb/MACS/human/ENCFF183VRP_peak_4162_lociStitched	chr16	72939050	72948114	3	1601	3131.612	997.04
4_/mnt/vdb/MACS/human/ENCFF183VRP_peak_6712_lociStitched	chr2	240250902	240259890	4	1231	2647.8648	753.1944
2_/mnt/vdb/MACS/human/ENCFF183VRP_peak_7111_lociStitched	chr21	42039266	42048204	2	571	1621.3532	831.234
3_/mnt/vdb/MACS/human/ENCFF183VRP_peak_1672_lociStitched	chr10	133250320	133259245	3	844	2605.2075	774.69
4_/mnt/vdb/MACS/human/ENCFF183VRP_peak_7338_lociStitched	chr22	41818182	41827087	4	2084	4588.7465	919.8865
3_/mnt/vdb/MACS/human/ENCFF183VRP_peak_5311_lociStitched	chr19	5960412	5969225	3	1076	3655.6324	1262.9029
2_/mnt/vdb/MACS/human/ENCFF183VRP_peak_9962_lociStitched	chr7	130365000	130373777	2	885	3934.7291	1162.9525
3_/mnt/vdb/MACS/human/ENCFF183VRP_peak_5563_lociStitched	chr19	36128172	36136943	3	763	1589.3052	785.0045
7_/mnt/vdb/MACS/human/ENCFF183VRP_peak_76_lociStitched	chr1	9241466	9250204	7	3147	5169.4008	832.7314
