REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	ENCFF483VRP_sorted.bam	ENCFF183PVA_sorted.bam
17_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_22943_lociStitched	chr8	120525140	120565794	17	10721	22485.7274	4293.0624
18_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_14009_lociStitched	chr2	165866612	165907166	18	15152	28298.5812	4108.1202
14_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_4151_lociStitched	chr11	98925652	98965571	14	15879	27931.3243	4446.9766
12_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_4039_lociStitched	chr11	97404346	97443376	12	8697	20740.542	4051.314
9_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_22984_lociStitched	chr8	121263192	121302003	9	3150	13576.0878	3962.6031
15_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_18862_lociStitched	chr6	30514139	30552263	15	7593	18284.2704	3492.1584
7_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_4308_lociStitched	chr11	102573015	102611035	7	7444	17728.726	3817.208
13_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_5465_lociStitched	chr12	86799018	86836983	13	10913	22558.803	4069.848
16_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_14769_lociStitched	chr3	88114999	88151736	16	9964	19279.5776	3614.9208
11_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_15779_lociStitched	chr4	45471858	45508418	11	4941	18356.776	3933.856
20_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_1761_lociStitched	chr10	60792125	60828645	20	13161	25578.608	3860.164
5_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_3969_lociStitched	chr11	95982231	96018498	5	6478	19500.7659	3416.3514
9_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_22933_lociStitched	chr8	120475944	120512181	9	7236	19991.9529	3848.3694
11_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_13381_lociStitched	chr2	118510390	118546386	11	8131	17497.6556	3682.3908
14_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_10991_lociStitched	chr18	35814585	35850168	14	13923	23687.6031	3604.5579
16_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_9950_lociStitched	chr17	29432801	29468054	16	11091	23658.2883	3638.1096
13_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_24635_lociStitched	chrX	12122938	12158088	13	6469	12010.755	2242.57
9_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_20839_lociStitched	chr7	73584312	73619399	9	7248	17189.1213	3364.8433
7_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_7430_lociStitched	chr14	66817213	66851886	7	2063	10869.9855	3207.2525
8_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_12595_lociStitched	chr2	30440443	30474169	8	9364	20593.0956	3264.6768
11_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_17282_lociStitched	chr5	24320526	24354191	11	7904	18626.8445	3706.5165
12_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_550_lociStitched	chr1	91000435	91033466	12	4831	13621.9844	3253.5535
6_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_24310_lociStitched	chr9	107611600	107644623	6	5226	15728.8549	3609.4139
11_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_7365_lociStitched	chr14	63239159	63272126	11	20524	34905.4596	3290.1066
8_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_14123_lociStitched	chr2	167745852	167778645	8	3437	13894.3941	3764.6364
7_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_18070_lociStitched	chr5	115514745	115547203	7	2567	12272.3698	3271.7664
8_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_5285_lociStitched	chr12	79879436	79911804	8	3515	11652.48	3356.5616
10_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_7375_lociStitched	chr14	63338321	63370399	10	5171	14200.9306	3278.3716
5_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_19025_lociStitched	chr6	47740532	47772484	5	1506	27513.8672	20446.0848
6_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_18591_lociStitched	chr5	142904505	142936392	6	8660	20120.697	3105.7938
9_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_8394_lociStitched	chr15	88837041	88868633	9	7523	18797.24	3269.772
12_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_9837_lociStitched	chr17	26837458	26868979	12	13510	21528.843	3000.7992
9_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_19799_lociStitched	chr6	128015977	128047468	9	3967	12079.9476	3186.8892
9_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_934_lociStitched	chr1	155029053	155060426	9	5368	12985.2847	3247.1055
6_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_20133_lociStitched	chr7	16295011	16326293	6	4541	11374.1352	3049.995
9_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_8102_lociStitched	chr15	77336330	77367360	9	3746	10013.381	3103.0
11_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_16111_lociStitched	chr4	106839019	106869820	11	7171	17002.152	3246.4254
11_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_9342_lociStitched	chr16	90388150	90418918	11	3605	9882.6816	3067.5696
11_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_1024_lociStitched	chr1	165089178	165119943	11	5719	13025.901	2919.5985
8_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_22496_lociStitched	chr8	84634988	84665620	8	9816	18976.524	2790.5752
7_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_14733_lociStitched	chr3	87144582	87174789	7	6100	14852.7819	2933.0997
9_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_22845_lociStitched	chr8	111716349	111746409	9	8447	17524.98	3180.348
8_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_743_lociStitched	chr1	133226301	133256312	8	4750	13946.1117	3094.1341
10_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_11033_lociStitched	chr18	37821970	37851929	10	8253	15884.2618	2813.1501
10_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_8625_lociStitched	chr15	101231591	101261398	10	5011	12146.3525	2834.6457
6_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_12154_lociStitched	chr19	47301625	47331431	6	3599	11913.4582	3225.0092
5_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_303_lociStitched	chr1	72225944	72255725	5	2384	7906.8555	2614.7718
8_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_2164_lociStitched	chr10	81401576	81431283	8	5598	15040.6541	3264.7993
11_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_513_lociStitched	chr1	89092465	89121989	11	3747	12214.0788	3014.4004
6_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_5084_lociStitched	chr12	54709760	54739255	6	2850	10621.1495	2816.7725
6_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_5297_lociStitched	chr12	79965211	79994593	6	3866	12490.2882	3058.6662
8_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_17128_lociStitched	chr4	155122073	155151368	8	4569	14583.051	3061.3275
7_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_22174_lociStitched	chr8	57312294	57341405	7	16091	28103.7594	2614.1678
6_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_23996_lociStitched	chr9	72762636	72791580	6	2786	9296.8128	2856.7728
5_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_23326_lociStitched	chr9	21153358	21181932	5	3330	8423.6152	2965.9812
9_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_21488_lociStitched	chr7	130645499	130673901	9	6168	14306.0874	2803.2774
20_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_16787_lociStitched	chr4	137470514	137498643	20	12122	20525.7313	3262.964
4_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_17364_lociStitched	chr5	30594669	30622779	4	1052	8983.956	3049.935
13_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_11610_lociStitched	chr19	5799996	5827853	13	9885	20304.9673	3005.7703
6_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_16958_lociStitched	chr4	148724343	148751624	6	2003	8056.0793	2755.381
9_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_8077_lociStitched	chr15	77013136	77039766	9	7373	17008.581	2958.593
6_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_18968_lociStitched	chr6	37414668	37441278	6	3029	11519.469	2615.763
7_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_3750_lociStitched	chr11	85818056	85844304	7	3934	12501.9224	2729.792
6_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_17692_lociStitched	chr5	74146988	74172933	6	2578	9298.688	2719.036
10_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_17982_lociStitched	chr5	113132895	113158833	10	4442	12460.6152	2749.428
7_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_17508_lociStitched	chr5	36360180	36386091	7	2520	11377.5201	2772.477
8_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_23196_lociStitched	chr8	126513901	126539752	8	2747	8954.7864	2740.206
5_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_24514_lociStitched	chr9	120001836	120027652	5	4347	10292.8392	2586.7632
12_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_18292_lociStitched	chr5	125134324	125160083	12	5858	13773.3373	2676.3601
10_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_23217_lociStitched	chr8	126824529	126850267	10	6089	12706.8506	2416.7982
6_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_12207_lociStitched	chr19	53653878	53679592	6	4937	12134.4366	2635.685
4_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_14519_lociStitched	chr3	51339688	51365361	4	3889	10086.9217	2482.5791
6_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_6920_lociStitched	chr14	25442856	25468524	6	6247	16738.1028	2646.3708
6_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_18566_lociStitched	chr5	142416163	142441709	6	3434	10422.768	2700.2122
8_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_14533_lociStitched	chr3	51725191	51750672	8	4662	10875.2908	2581.2253
9_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_14096_lociStitched	chr2	167540508	167565907	9	3383	10863.1523	2715.1531
5_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_1501_lociStitched	chr10	20273492	20298738	5	1283	5311.7584	2433.7144
9_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_9520_lociStitched	chr17	7260275	7285439	9	4227	11635.8336	2654.802
6_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_17139_lociStitched	chr4	155172884	155198022	6	3095	10158.2658	2554.0208
6_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_21201_lociStitched	chr7	112204460	112229402	6	3303	11410.965	2651.3346
5_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_23145_lociStitched	chr8	125174249	125199189	5	1849	8407.274	2444.12
6_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_24318_lociStitched	chr9	107698890	107723796	6	2676	10069.4958	2749.6224
6_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_18009_lociStitched	chr5	113950742	113975563	6	2699	8702.2426	2437.4222
5_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_2444_lociStitched	chr10	120697558	120722348	5	2145	7724.564	2364.966
11_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_22024_lociStitched	chr8	33885314	33909884	11	6635	13226.031	2371.005
5_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_5292_lociStitched	chr12	79924863	79949417	5	2340	9676.7314	2403.8366
5_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_10148_lociStitched	chr17	35697584	35722122	5	6638	13510.6228	2507.7836
4_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_10227_lociStitched	chr17	45724082	45748592	4	3264	12056.469	2752.473
8_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_23826_lociStitched	chr9	63918566	63942864	8	5000	12479.4528	2641.1926
7_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_22475_lociStitched	chr8	84180091	84204315	7	9829	19575.4144	2453.8912
7_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_7630_lociStitched	chr14	120276252	120300409	7	3942	10737.7865	2362.5546
5_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_9428_lociStitched	chr16	94289703	94313618	5	2458	7093.189	2257.576
6_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_8111_lociStitched	chr15	77797509	77821402	6	5173	13358.5763	2415.5823
6_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_7027_lociStitched	chr14	31394015	31417857	6	1809	9419.9742	2429.4998
11_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_16144_lociStitched	chr4	108348421	108372222	11	4689	11093.6461	2453.8831
4_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_19879_lociStitched	chr6	136531884	136555651	4	1935	7194.2709	2210.331
8_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_8717_lociStitched	chr16	4497308	4521024	8	3226	8938.5604	2191.3584
11_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_5324_lociStitched	chr12	80208215	80231862	11	4197	11466.4303	2475.8409
6_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_3660_lociStitched	chr11	79047138	79070676	6	2187	9594.0888	2407.9374
5_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_20211_lociStitched	chr7	19319667	19342841	5	3882	10196.56	2481.9354
10_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_1728_lociStitched	chr10	59898383	59921442	10	4820	10920.7424	2511.1251
3_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_14956_lociStitched	chr3	95950558	95973552	3	1967	7679.996	2340.7892
9_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_1053_lociStitched	chr1	165695864	165718724	9	6264	11462.004	2274.57
7_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_16281_lociStitched	chr4	119008532	119031302	7	4278	11191.455	2233.737
6_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_23512_lociStitched	chr9	41876870	41899640	6	2311	6710.319	2090.286
5_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_20806_lociStitched	chr7	70347662	70370334	5	7694	16029.104	1976.9984
7_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_16560_lociStitched	chr4	133003252	133025861	7	4450	12260.8607	2303.8571
6_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_20873_lociStitched	chr7	80056898	80079394	6	1885	9533.8048	2544.2976
6_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_12507_lociStitched	chr2	27195654	27217978	6	3220	10139.5608	2268.1184
4_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_409_lociStitched	chr1	75445451	75467642	4	1065	8721.063	2900.3637
3_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_18581_lociStitched	chr5	142802178	142824363	3	11445	28509.9435	2120.886
4_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_5205_lociStitched	chr12	73381745	73403847	4	1111	6122.254	2159.3654
9_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_17499_lociStitched	chr5	35900961	35923040	9	4257	10445.5749	2276.3449
8_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_5277_lociStitched	chr12	79838521	79860554	8	2868	10320.2572	2271.6023
8_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_10994_lociStitched	chr18	35867832	35889858	8	4531	11076.8754	2251.0572
12_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_14198_lociStitched	chr2	172860793	172882800	12	3612	10444.5222	2416.3686
5_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_17028_lociStitched	chr4	150799433	150821305	5	1514	6417.2448	2031.9088
8_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_15926_lociStitched	chr4	62721792	62743647	8	5638	11679.312	2176.758
8_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_820_lociStitched	chr1	135720075	135741658	8	7599	12917.4255	2300.7478
8_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_11196_lociStitched	chr18	60632798	60654335	8	3280	9260.91	2035.2465
6_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_22510_lociStitched	chr8	84722676	84744142	6	4279	11263.2102	2470.7366
11_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_18870_lociStitched	chr6	30616049	30637476	11	6651	12444.8016	2281.9755
9_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_4111_lociStitched	chr11	98768201	98789622	9	7200	13942.9289	2259.9155
6_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_10012_lociStitched	chr17	31916242	31937457	6	2020	8063.8215	2174.5375
8_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_23787_lociStitched	chr9	62435231	62456307	8	3668	7880.3164	2105.4924
11_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_20397_lociStitched	chr7	28939185	28960190	11	6078	12321.533	2108.902
6_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_3215_lociStitched	chr11	60094925	60115886	6	5302	14412.7836	2073.0429
5_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_5960_lociStitched	chr13	29190014	29210897	5	2233	5584.1142	1933.7658
11_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_15068_lociStitched	chr3	101387844	101408700	11	2891	8457.108	2089.7712
5_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_2010_lociStitched	chr10	79927026	79947838	5	5254	12784.8116	2345.5124
3_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_8357_lociStitched	chr15	85625677	85646467	3	1597	4573.8	1952.181
6_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_12930_lociStitched	chr2	45096773	45117558	6	5710	14013.247	1866.493
4_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_22787_lociStitched	chr8	108691805	108712542	4	2849	9754.6848	1970.015
5_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_24264_lociStitched	chr9	106398004	106418723	5	1433	7065.179	2219.0049
5_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_24487_lociStitched	chr9	118974547	118995228	5	2009	7532.0202	2082.5767
8_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_6931_lociStitched	chr14	25505032	25525652	8	2888	10648.168	2301.192
7_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_6142_lociStitched	chr13	46898818	46919372	7	2907	7107.5732	1872.4694
4_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_2446_lociStitched	chr10	120744162	120764715	4	2994	6040.5267	1927.8714
5_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_23889_lociStitched	chr9	65541969	65562505	5	2538	8210.2928	2217.888
4_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_16352_lociStitched	chr4	123227802	123248316	4	2329	6634.2276	2020.629
5_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_14136_lociStitched	chr2	168036890	168057371	5	1981	7043.4159	2119.7835
3_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_8222_lociStitched	chr15	80004576	80025044	3	1537	6899.7628	2073.4084
6_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_4324_lociStitched	chr11	102774123	102794510	6	2383	8472.8372	2091.7062
4_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_3856_lociStitched	chr11	88449170	88469546	4	1418	7225.3296	2000.9232
9_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_11374_lociStitched	chr18	75366332	75386673	9	7679	17200.3496	1914.0881
4_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_8578_lociStitched	chr15	99704339	99724619	4	2046	6444.984	2176.044
10_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_2798_lociStitched	chr11	19007513	19027784	10	14744	24489.3951	1783.848
5_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_22040_lociStitched	chr8	33978202	33998205	5	4525	9553.4328	1902.2853
6_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_10716_lociStitched	chr17	87512313	87532229	6	2747	7048.2724	1915.9192
9_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_2039_lociStitched	chr10	80146089	80165990	9	9508	20768.6836	2171.1991
5_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_7066_lociStitched	chr14	34573263	34592995	5	5517	11105.1696	2188.2788
9_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_18115_lociStitched	chr5	119823909	119843606	9	12077	19147.4537	2015.0031
4_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_2113_lociStitched	chr10	80921984	80941631	4	4483	10825.497	2147.4171
11_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_22919_lociStitched	chr8	120363846	120383449	11	6311	11995.0757	2030.8708
13_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_16568_lociStitched	chr4	133038512	133058087	13	6515	13551.7725	2112.1425
3_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_17317_lociStitched	chr5	24732898	24752448	3	2903	7773.08	2007.785
5_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_13800_lociStitched	chr2	153549002	153568544	5	3016	8504.6784	2167.2078
10_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_19100_lociStitched	chr6	52160100	52179586	10	5368	10512.697	1954.4458
3_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_22765_lociStitched	chr8	106507869	106527295	3	2524	8724.2166	1874.609
7_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_475_lociStitched	chr1	86486784	86505811	7	5331	11564.6106	1910.3108
5_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_12819_lociStitched	chr2	33249977	33268901	5	1646	6769.1148	1964.3112
3_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_19496_lociStitched	chr6	100195865	100214719	3	876	5256.4952	2104.1064
5_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_7092_lociStitched	chr14	45445207	45464047	5	1657	5791.416	1793.568
4_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_8181_lociStitched	chr15	79243155	79261949	4	1224	5457.7776	1916.988
8_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_3617_lociStitched	chr11	77784063	77802832	8	5955	10846.6051	1957.6067
5_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_11633_lociStitched	chr19	5935035	5953721	5	1788	6441.0642	1872.3372
5_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_15204_lociStitched	chr3	108287999	108306682	5	1700	5825.3594	1720.7043
10_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_13743_lociStitched	chr2	152723947	152742384	10	6511	12279.042	2029.9137
5_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_19650_lociStitched	chr6	120174130	120192553	5	1610	7153.6509	1904.9382
5_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_3179_lociStitched	chr11	58984795	59003132	5	1598	7686.8704	1811.6956
4_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_22298_lociStitched	chr8	70682396	70700605	4	6368	13308.9581	1819.0791
5_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_5609_lociStitched	chr12	109399771	109417886	5	1900	7927.124	1878.5255
10_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_2766_lociStitched	chr11	11948307	11966255	10	4329	9447.8272	1751.7248
