#ENCFF183VRP_peaks Enhancers
#Created from /mnt/vdb/ROSE/mouse/ENCFF483VRP/ENCFF183VRP_peaks_12KB_STITCHED_TSS_DISTAL_ENHANCER_REGION_MAP.txt
#Ranked by ENCFF483VRP_sorted.bam
#Using cutoff of 5535.8184 for Super-Enhancers
#Created on Sep 13 2020 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	ENCFF483VRP_sorted.bam	ENCFF183PVA_sorted.bam	enhancerRank	isSuper
11_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_13955_lociStitched	chr2	163353293	163396102	11	5607	17076.5101	4306.5854	68	1
6_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_3215_lociStitched	chr11	60094925	60115886	6	5302	14412.7836	2073.0429	69	1
9_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_21658_lociStitched	chr7	142474747	142488761	9	8678	13792.5788	1489.6882	70	1
3_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_4751_lociStitched	chr11	120347760	120358442	3	5127	13452.9108	1171.8154	71	1
4_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_13370_lociStitched	chr2	116060319	116069776	4	8252	13167.9268	918.2747	72	1
6_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_12930_lociStitched	chr2	45096773	45117558	6	5710	14013.247	1866.493	73	1
5_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_469_lociStitched	chr1	86433799	86448098	5	5623	13589.7696	1444.199	74	1
6_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_24310_lociStitched	chr9	107611600	107644623	6	5226	15728.8549	3609.4139	75	1
7_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_14733_lociStitched	chr3	87144582	87174789	7	6100	14852.7819	2933.0997	76	1
7_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_7226_lociStitched	chr14	54990487	55005434	7	9342	13311.7982	1405.018	77	1
2_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_23774_lociStitched	chr9	62340760	62349309	2	4944	12685.8611	813.0099	78	1
1_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_18207_lociStitched	chr5	123134896	123140706	1	5811	12429.333	624.575	79	1
8_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_2164_lociStitched	chr10	81401576	81431283	8	5598	15040.6541	3264.7993	80	1
6_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_3379_lociStitched	chr11	69408860	69419972	6	7692	12946.5912	1188.984	81	1
9_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_4111_lociStitched	chr11	98768201	98789622	9	7200	13942.9289	2259.9155	82	1
8_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_17128_lociStitched	chr4	155122073	155151368	8	4569	14583.051	3061.3275	83	1
9_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_21488_lociStitched	chr7	130645499	130673901	9	6168	14306.0874	2803.2774	84	1
4_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_22298_lociStitched	chr8	70682396	70700605	4	6368	13308.9581	1819.0791	85	1
13_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_16568_lociStitched	chr4	133038512	133058087	13	6515	13551.7725	2112.1425	86	1
10_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_22991_lociStitched	chr8	121315351	121361237	10	3282	16353.7704	4983.2196	87	1
3_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_21048_lociStitched	chr7	99350566	99361284	3	7974	12496.1162	1156.4722	88	1
1_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_10079_lociStitched	chr17	34119476	34123607	1	4132	11685.7728	425.9061	89	1
5_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_20135_lociStitched	chr7	16398792	16406412	5	5989	11862.816	717.042	90	1
12_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_18292_lociStitched	chr5	125134324	125160083	12	5858	13773.3373	2676.3601	91	1
4_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_6371_lociStitched	chr13	63562757	63573541	4	6103	11977.7888	965.168	92	1
5_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_10148_lociStitched	chr17	35697584	35722122	5	6638	13510.6228	2507.7836	93	1
6_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_4532_lociStitched	chr11	115830612	115844560	6	7534	12505.7768	1528.7008	94	1
11_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_2689_lociStitched	chr11	5886922	5902420	11	7260	12573.5274	1597.8438	95	1
6_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_8111_lociStitched	chr15	77797509	77821402	6	5173	13358.5763	2415.5823	96	1
2_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_4726_lociStitched	chr11	120184219	120190091	2	5543	11552.5728	615.3856	97	1
10_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_7375_lociStitched	chr14	63338321	63370399	10	5171	14200.9306	3278.3716	98	1
4_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_15971_lociStitched	chr4	82504026	82513688	4	6325	11782.809	863.7828	99	1
11_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_22024_lociStitched	chr8	33885314	33909884	11	6635	13226.031	2371.005	100	1
8_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_743_lociStitched	chr1	133226301	133256312	8	4750	13946.1117	3094.1341	101	1
7_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_10300_lociStitched	chr17	47511400	47528328	7	7103	12482.7072	1757.1264	102	1
8_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_820_lociStitched	chr1	135720075	135741658	8	7599	12917.4255	2300.7478	103	1
5_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_2010_lociStitched	chr10	79927026	79947838	5	5254	12784.8116	2345.5124	104	1
12_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_550_lociStitched	chr1	91000435	91033466	12	4831	13621.9844	3253.5535	105	1
10_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_23217_lociStitched	chr8	126824529	126850267	10	6089	12706.8506	2416.7982	106	1
10_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_13743_lociStitched	chr2	152723947	152742384	10	6511	12279.042	2029.9137	107	1
11_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_20397_lociStitched	chr7	28939185	28960190	11	6078	12321.533	2108.902	108	1
11_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_18870_lociStitched	chr6	30616049	30637476	11	6651	12444.8016	2281.9755	109	1
6_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_9013_lociStitched	chr16	30059281	30071179	6	6327	11226.9528	1092.2364	110	1
8_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_14123_lociStitched	chr2	167745852	167778645	8	3437	13894.3941	3764.6364	111	1
11_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_1024_lociStitched	chr1	165089178	165119943	11	5719	13025.901	2919.5985	112	1
2_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_482_lociStitched	chr1	86524171	86528912	2	4508	10547.3027	464.1439	113	1
2_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_5310_lociStitched	chr12	80109601	80116465	2	6580	10682.4432	659.6304	114	1
2_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_20367_lociStitched	chr7	28375065	28383416	2	6394	10900.5603	933.6418	115	1
11_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_22919_lociStitched	chr8	120363846	120383449	11	6311	11995.0757	2030.8708	116	1
7_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_16560_lociStitched	chr4	133003252	133025861	7	4450	12260.8607	2303.8571	117	1
10_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_23577_lociStitched	chr9	44478704	44494736	10	6647	11528.6112	1676.9472	118	1
8_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_23826_lociStitched	chr9	63918566	63942864	8	5000	12479.4528	2641.1926	119	1
7_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_3750_lociStitched	chr11	85818056	85844304	7	3934	12501.9224	2729.792	120	1
13_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_24635_lociStitched	chrX	12122938	12158088	13	6469	12010.755	2242.57	121	1
3_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_11313_lociStitched	chr18	65577486	65584403	3	4769	10406.6265	653.6565	122	1
9_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_934_lociStitched	chr1	155029053	155060426	9	5368	12985.2847	3247.1055	123	1
10_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_17982_lociStitched	chr5	113132895	113158833	10	4442	12460.6152	2749.428	124	1
7_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_475_lociStitched	chr1	86486784	86505811	7	5331	11564.6106	1910.3108	125	1
1_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_8454_lociStitched	chr15	96284340	96289029	1	4690	10027.4265	392.0004	126	1
9_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_22984_lociStitched	chr8	121263192	121302003	9	3150	13576.0878	3962.6031	127	1
8_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_15926_lociStitched	chr4	62721792	62743647	8	5638	11679.312	2176.758	128	1
6_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_12207_lociStitched	chr19	53653878	53679592	6	4937	12134.4366	2635.685	129	1
3_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_362_lociStitched	chr1	74386497	74398356	3	4887	10711.0488	1217.9193	130	1
6_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_5297_lociStitched	chr12	79965211	79994593	6	3866	12490.2882	3058.6662	131	1
4_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_11155_lociStitched	chr18	54979129	54993287	4	6523	10577.4418	1244.4882	132	1
10_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_8625_lociStitched	chr15	101231591	101261398	10	5011	12146.3525	2834.6457	133	1
4_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_10227_lociStitched	chr17	45724082	45748592	4	3264	12056.469	2752.473	134	1
7_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_24203_lociStitched	chr9	102709912	102727199	7	4353	10954.7719	1728.7	135	1
11_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_513_lociStitched	chr1	89092465	89121989	11	3747	12214.0788	3014.4004	136	1
9_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_1053_lociStitched	chr1	165695864	165718724	9	6264	11462.004	2274.57	137	1
7_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_11393_lociStitched	chr18	75493377	75506953	7	7090	10632.7232	1478.4264	138	1
3_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_23837_lociStitched	chr9	64016655	64022953	3	5694	9804.0966	656.8814	139	1
2_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_19860_lociStitched	chr6	134917000	134928782	2	4690	10033.5512	956.6984	140	1
3_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_4973_lociStitched	chr12	25093225	25101561	3	6692	9888.1632	820.2624	141	1
7_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_18070_lociStitched	chr5	115514745	115547203	7	2567	12272.3698	3271.7664	142	1
11_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_5324_lociStitched	chr12	80208215	80231862	11	4197	11466.4303	2475.8409	143	1
9_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_9520_lociStitched	chr17	7260275	7285439	9	4227	11635.8336	2654.802	144	1
2_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_4296_lociStitched	chr11	102309316	102319759	2	3540	9967.8435	988.9521	145	1
7_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_16281_lociStitched	chr4	119008532	119031302	7	4278	11191.455	2233.737	146	1
5_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_20382_lociStitched	chr7	28796502	28810509	5	5505	10304.9499	1361.4804	147	1
5_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_7066_lociStitched	chr14	34573263	34592995	5	5517	11105.1696	2188.2788	148	1
6_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_18968_lociStitched	chr6	37414668	37441278	6	3029	11519.469	2615.763	149	1
4_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_21714_lociStitched	chr7	142658057	142668081	4	5773	9914.7384	1013.4264	150	1
7_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_15874_lociStitched	chr4	57559103	57573696	7	6248	10381.4602	1481.1895	151	1
9_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_19799_lociStitched	chr6	128015977	128047468	9	3967	12079.9476	3186.8892	152	1
8_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_3617_lociStitched	chr11	77784063	77802832	8	5955	10846.6051	1957.6067	153	1
8_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_10994_lociStitched	chr18	35867832	35889858	8	4531	11076.8754	2251.0572	154	1
6_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_22510_lociStitched	chr8	84722676	84744142	6	4279	11263.2102	2470.7366	155	1
6_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_21201_lociStitched	chr7	112204460	112229402	6	3303	11410.965	2651.3346	156	1
9_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_21629_lociStitched	chr7	142317210	142333424	9	5510	10409.388	1653.828	157	1
2_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_21998_lociStitched	chr8	27085284	27092175	2	6841	9369.0036	665.6706	158	1
6_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_23396_lociStitched	chr9	24770105	24781673	6	6625	9851.3088	1154.4864	159	1
6_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_12154_lociStitched	chr19	47301625	47331431	6	3599	11913.4582	3225.0092	160	1
4_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_2113_lociStitched	chr10	80921984	80941631	4	4483	10825.497	2147.4171	161	1
11_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_16144_lociStitched	chr4	108348421	108372222	11	4689	11093.6461	2453.8831	162	1
7_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_17508_lociStitched	chr5	36360180	36386091	7	2520	11377.5201	2772.477	163	1
10_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_19100_lociStitched	chr6	52160100	52179586	10	5368	10512.697	1954.4458	164	1
1_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_6278_lociStitched	chr13	55209847	55213471	1	3625	8929.8984	384.144	165	1
5_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_20285_lociStitched	chr7	25267493	25282006	5	4912	10053.1551	1545.6345	166	1
2_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_21838_lociStitched	chr8	11003460	11011351	2	5454	9222.2117	803.3038	167	1
10_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_1728_lociStitched	chr10	59898383	59921442	10	4820	10920.7424	2511.1251	168	1
7_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_7630_lociStitched	chr14	120276252	120300409	7	3942	10737.7865	2362.5546	169	1
8_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_6931_lociStitched	chr14	25505032	25525652	8	2888	10648.168	2301.192	170	1
6_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_20133_lociStitched	chr7	16295011	16326293	6	4541	11374.1352	3049.995	171	1
1_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_6495_lociStitched	chr13	80882605	80887153	1	4549	8693.9568	372.0264	172	1
8_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_5285_lociStitched	chr12	79879436	79911804	8	3515	11652.48	3356.5616	173	1
8_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_14533_lociStitched	chr3	51725191	51750672	8	4662	10875.2908	2581.2253	174	1
3_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_5957_lociStitched	chr13	28950698	28959706	3	4644	9116.096	853.9584	175	1
9_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_7981_lociStitched	chr15	73730454	73746550	9	4345	9948.9376	1756.0736	176	1
10_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_4179_lociStitched	chr11	100388448	100404135	10	5868	9917.3214	1742.8257	177	1
9_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_17499_lociStitched	chr5	35900961	35923040	9	4257	10445.5749	2276.3449	178	1
2_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_22409_lociStitched	chr8	79027766	79031612	2	3758	8501.1984	345.3708	179	1
9_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_14096_lociStitched	chr2	167540508	167565907	9	3383	10863.1523	2715.1531	180	1
8_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_5277_lociStitched	chr12	79838521	79860554	8	2868	10320.2572	2271.6023	181	1
12_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_14198_lociStitched	chr2	172860793	172882800	12	3612	10444.5222	2416.3686	182	1
4_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_8515_lociStitched	chr15	98602245	98610221	4	4571	8813.48	789.624	183	1
2_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_10278_lociStitched	chr17	46854789	46858819	2	3142	8331.219	346.983	184	1
