#ENCFF000VHВ_peaks Enhancers
#Created from /mnt/vdb/ROSE/cells/ENCFF000VHВ_peaks_12KB_STITCHED_TSS_DISTAL_ENHANCER_REGION_MAP.txt
#Ranked by ENCFF000VHD_sorted.bam
#Using cutoff of 15740.7624 for Super-Enhancers
#Created on Sep 12 2020 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	ENCFF000VHD_sorted.bam	ENCFF000VHL_sorted.bam	enhancerRank	isSuper
7_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_4074_lociStitched	chr20	47195577	47206322	7	3897	43972.838	18390.0675	44	1
10_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_1702_lociStitched	chr12	97552619	97573566	10	10522	27019.5353	1772.1162	45	1
13_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_810_lociStitched	chr10	8856094	8877000	13	11806	26109.5034	1601.3996	46	1
15_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_4791_lociStitched	chr3	133444716	133465623	15	9340	26947.0323	2893.5288	47	1
4_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_4219_lociStitched	chr20	50787405	50791861	4	2888	31347.5144	7494.992	48	1
8_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_6506_lociStitched	chr8	127848764	127871959	8	4804	31691.3285	7897.8975	49	1
10_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_6715_lociStitched	chr9	94913528	94927938	10	10845	26200.262	2471.315	50	1
6_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_6349_lociStitched	chr8	101359468	101386597	6	6746	28911.3753	5192.4906	51	1
11_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_2342_lociStitched	chr15	87517979	87531464	11	10447	24078.816	1324.227	52	1
4_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_1547_lociStitched	chr12	52943271	52952811	4	7502	25372.584	2758.014	53	1
11_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_4879_lociStitched	chr3	161314720	161342394	11	8058	25260.8272	2889.1656	54	1
5_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_780_lociStitched	chr10	8049152	8064207	5	10085	23830.5595	1627.4455	55	1
12_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_839_lociStitched	chr10	9176678	9191008	12	8676	24029.977	1966.076	56	1
13_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_5942_lociStitched	chr7	76291337	76317915	13	7798	25113.5522	3261.1206	57	1
10_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_6007_lociStitched	chr7	108340118	108367158	10	8052	22705.488	2030.704	58	1
4_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_2793_lociStitched	chr16_KI270728v1_random	1752460	1757079	4	4025	22945.3444	2321.5094	59	1
6_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_1552_lociStitched	chr12	52967484	52977558	6	6788	23036.2158	2531.5962	60	1
9_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_751_lociStitched	chr10	5489080	5504676	9	7734	23617.0228	3170.6668	61	1
8_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_2359_lociStitched	chr15	89105492	89122640	8	6747	22359.2772	2419.5828	62	1
8_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_2414_lociStitched	chr15	95892456	95913694	8	7730	22085.3962	2208.752	63	1
9_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_6359_lociStitched	chr8	101459590	101475514	9	5752	23075.4684	3565.3836	64	1
9_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_2389_lociStitched	chr15	92803360	92831825	9	5582	23161.9705	4005.0255	65	1
8_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_1965_lociStitched	chr14	49999211	50019835	8	6200	21791.3184	2761.5536	66	1
14_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_2660_lociStitched	chr16	75043927	75067307	14	6920	20420.092	2681.686	67	1
10_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_6908_lociStitched	chr9	134354757	134375169	10	5042	20930.4648	4253.8608	68	1
10_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_3844_lociStitched	chr2	215967544	215988554	10	5312	18329.124	1706.012	69	1
5_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_2952_lociStitched	chr17	59751931	59762256	5	5357	18677.925	2178.575	70	1
2_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_3008_lociStitched	chr17	61567266	61569890	2	2492	20022.6944	3785.6448	71	1
3_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_2917_lociStitched	chr17	57892767	57901420	3	4228	18376.3761	2421.9747	72	1
